estc_id,publication_place,publication_year,format
T108509,London,1800,12mo
T38980,London,1707,4to
T69564,Dublin,1774,8vo
N15717,London,1716,8vo
R7874,London,1691,4to
N19220,London,1735,8vo
T105177,London,1706,8vo
T134538,London,1793,8vo
T148509,London,1772,8vo
T103579,London,1761,8vo
T219463,London,1716,2fo
T50666,London,1773,8vo
T190275,Edinburgh,1713,2fo
N22223,London,1713,12mo
T107691,Dublin,1741,12mo
T175811,Dublin,1768,12mo
T79763,London,1790,8vo
T182875,London,1706,8vo
T104764,London,1797,2fo
N17636,London,1775,4to
T112789,London,1719,8vo
T213286,London,1781,8vo
T86465,Edinburgh,1738,8vo
T83658,London,1737,8vo
R20263,London,1682,4to
T221756,London,1798,4to
T35067,London,1714,8vo
T96311,London,1774,8vo
S115503,London,1619,12mo
T46272,London,1706,2fo
R221522,London,1700,4to
T80320,London,1792,12mo
N48960,London,1740,12mo
T15151,London,1796,2fo
T93853,London,1709,8vo
N66903,London,1749,8vo
T201861,London,1795,4to
T139418,London,1746,8vo
T221495,London,1778,8vo
T141248,London,1727,8vo
T59404,London,NA,8vo
T98766,Edinburgh,1780,4to
N25847,London,1790,8vo
T148666,London,1797,2fo
T229056,Edinburgh,1738,4to
T130930,Edinburgh,1725,8vo
T202890,Dublin,1771,8vo
R20110,London,1671,4to
T94306,Dublin,1786,8vo
R207570,London,1654,4to
T91720,Dublin,1714,2fo
T10230,London,1768,8vo
R224980,London,1693,2fo
T113392,London,1787,4to
R216721,London,1685,8vo
R11389,London,1643,4to
T208496,London,1712,2fo
R7673,London,1649,4to
R477899,London,NA,NA
R171120,London,1662,12mo
T28448,London,1745,8vo
T10675,London,1701,4to
R40269,London,1660,4to
T172409,Dublin,1757,8vo
R766,London,1644,4to
R202768,London,1648,12mo
R21948,London,1648,8vo
T167731,London,1705,4to
T42263,London,1773,8vo
T11292,London,1732,8vo
T115902,London,1754,12mo
N58387,London,1784,2fo
T117749,London,1797,8vo
T76852,London,1717,8vo
T36386,London,1709,8vo
T182045,Dublin,1794,12mo
S118325,London,1621,8vo
T70314,London,1722,8vo
T32189,London,1795,8vo
R37261,London,1689,2fo
S107326,London,1608,12mo
N3360,London,1782,8vo
T151052,London,1767,12mo
N29686,Edinburgh,1755,4to
T132084,Edinburgh,1764,12mo
N4560,London,1794,12mo
S95277,London,1622,8vo
T21596,London,1721,8vo
N544,London,1758,8vo
T2727,London,1783,8vo
T198206,Edinburgh,1794,4to
N52173,London,1794,12mo
S109579,London,1623,8vo
T20545,London,1773,4to
R222908,Edinburgh,1695,NA
R215750,London,1663,4to
T65745,London,1765,2fo
T469251,London,1706,2fo
N15666,London,1733,2fo
T178026,Dublin,1795,12mo
S91597,London,1621,2fo
T126862,London,1761,8vo
T87316,London,1712,12mo
S124857,London,1639,4to
P2287,London,1782,8vo
T121516,Edinburgh,1783,12mo
R232569,London,1653,2fo
N4120,London,1797,8vo
R470566,London,1683,4to
S120213,London,1634,2fo
N29224,London,1783,12mo
N19642,Dublin,1792,8vo
N28307,London,1769,8vo
R172432,London,1671,24long
T59649,Dublin,1747,12mo
R19740,London,1664,2fo
T151902,London,1756,12mo
T115473,London,1723,12mo
T191950,Edinburgh,1719,8vo
N60471,London,1776,8vo
T232241,Dublin,1727,2fo
T190783,London,1790,2fo
R20580,London,1689,2fo
R185415,London,1681,2fo
T16330,London,1779,8vo
R173226,London,1692,12mo
S119100,London,1637,8vo
R38162,London,1691,8vo
R181557,London,1700,2fo
T178046,London,1722,12mo
T121109,London,1722,8vo
S102101,London,1584,4to
R230800,London,1661,8vo
R171730,London,1660,4to
N61403,London,1701,2fo
T86092,London,1765,4to
T77215,London,1791,2fo
S92461,London,1639,4to
R180056,London,1677,2fo
T79527,London,1712,8vo
N71338,Dublin,1797,12mo
T482644,London,1781,2fo
T215695,Dublin,1739,8vo
R236448,London,1679,2fo
R220051,London,1696,2fo
R235995,London,1690,2fo
S2936,London,1627,NA
R200697,London,1660,2fo
R204831,London,1656,4to
R204646,London,1647,4to
N474161,London,1787,8vo
T19198,London,1727,2fo
T25789,London,1756,12mo
R214455,London,1640,2fo
R187472,London,1685,2fo
N58999,London,1791,2fo
N472529,London,1793,12mo
T76082,Edinburgh,1766,12mo
T15171,London,1796,2fo
T44315,London,1712,8vo
T2312,London,1790,8vo
T103593,London,1734,8vo
T80002,London,1793,8vo
S4039,London,NA,12mo
S115197,London,1609,2fo
T153208,London,1784,2fo
T175554,Edinburgh,1707,2fo
T78602,London,1740,8vo
R186226,London,1674,8vo
R36326,London,1672,12mo
T167892,London,1772,2fo
T36020,London,1759,8vo
T139223,Edinburgh,1743,8vo
R34237,London,1688,4to
T39287,London,1785,12mo
R475397,London,1663,8vo
R7758,London,1691,4to
T216095,London,1777,8vo
N55072,London,1769,2fo
R27978,London,1659,4to
N67214,Dublin,1787,2fo
T172966,Dublin,1798,2fo
R203355,London,1649,4to
R22063,London,1643,4to
R221,London,1680,8vo
R842,London,1685,4to
R178785,Dublin,1670,2fo
T142526,London,1710,4to
T53595,London,1785,8vo
T126011,London,1779,8vo
T11341,London,1749,8vo
T11201,London,1786,4to
N472143,Edinburgh,1764,4to
N51167,London,1747,8vo
N56978,London,1767,2fo
R3706,London,1685,4to
N29756,London,1794,8vo
T54727,London,1734,12mo
T149415,Edinburgh,1785,8vo
P2093,London,1679,2fo
P3022,London,1735,4to
T106868,London,1794,8vo
T185708,London,1798,4to
N18246,Dublin,1752,8vo
R218286,London,1659,2fo
T134687,London,1780,8vo
T45517,London,1735,2fo
R24113,London,1671,4to
R224733,London,1700,2fo
N476480,Dublin,1709,2fo
R224472,London,1691,2fo
R26408,London,1699,4to
N64127,London,1748,2fo
N11870,London,1777,12mo
T16531,London,1760,12mo
T180205,London,1728,12mo
T5855,London,1792,8vo
T211304,Edinburgh,1737,8vo
S103470,London,1633,8vo
R210125,London,1659,8vo
N27022,London,1724,4to
T229563,London,1791,8vo
T2237,London,1781,8vo
N39341,London,1800,2fo
R38233,London,1690,4to
R205110,London,1648,4to
T133573,London,1785,2fo
T8673,London,1785,2fo
T34244,London,1779,8vo
T70372,London,1758,12mo
T184766,Dublin,1763,8vo
R469886,London,1700,8vo
T133251,London,1745,8vo
T112805,London,1744,8vo
R173379,London,1692,4to
T200312,London,1725,8vo
N17251,London,1745,8vo
T220959,London,1720,8vo
R3098,London,1642,4to
T148306,London,1799,4to
T201531,London,1795,4to
N28546,London,1785,24mo
R40543,London,1646,4to
N47148,London,1766,8vo
T69941,London,1770,2fo
R16139,London,1673,4to
T178382,Edinburgh,1763,2fo
N19924,Dublin,1752,8vo
R43783,London,1698,8vo
T121034,London,1729,8vo
S109569,London,1592,4to
T97107,London,1710,8vo
T476982,Edinburgh,1773,4to
T206061,London,1765,2fo
T32204,London,1718,8vo
P1388,Dublin,NA,2fo
T199622,London,1710,2fo
T60205,Dublin,1799,12mo
R13881,London,1651,8vo
N68310,Edinburgh,1783,12mo
N53107,Dublin,1800,2fo
T169764,Edinburgh,1703,2fo
T37029,London,1736,4to
T17078,London,1782,8vo
N63943,London,1758,4to
T180798,London,1795,18mo
T174216,London,1731,8vo
T138990,Edinburgh,1788,12mo
N48331,London,1790,8vo
N54611,London,1800,2fo
T111365,London,1774,2fo
R229669,London,1700,8vo
T42195,London,1711,8vo
S4411,London,1636,NA
T113635,London,1798,8vo
R212132,London,1691,12mo
S124413,London,1536,8vo
T114726,London,1780,8vo
T99671,London,1728,8vo
R31911,London,1685,12mo
S3596,London,1639,2fo
S104727,London,1552,8vo
N68853,London,1793,8vo
R20541,London,1676,8vo
T130173,London,1744,2fo
R19915,London,1677,8vo
T162848,London,1763,8vo
R178439,Dublin,1690,2fo
T36930,London,1799,2fo
N8726,London,1764,12mo
N28121,London,1799,8vo
R171834,London,1645,4to
N57661,London,1777,2fo
R34741,London,1688,4to
T119140,Dublin,1738,12mo
T26958,London,1746,8vo
N63722,Dublin,1781,12mo
T45290,London,1770,12mo
T228979,Edinburgh,1748,2fo
N11247,London,1738,4to
T77608,London,1790,2fo
N2237,London,1798,12mo
T227940,London,1777,8vo
R16980,London,1687,4to
R233814,London,1692,12mo
R219961,London,1642,4to
R226149,Dublin,1691,2fo
N16308,London,1793,12mo
T131209,Dublin,1777,12mo
R17588,London,1640,4to
T166947,London,1705,8vo
T209861,Edinburgh,1766,4to
T49153,London,1718,8vo
N49969,London,1752,8vo
N44016,Dublin,1800,2fo
R6236,London,1641,4to
T29535,London,1768,8vo
S109755,London,1494,2fo
T222583,London,1789,2fo
N50945,London,1729,2fo
R212560,London,1660,2fo
N27503,London,1798,8vo
T139346,Dublin,1728,2fo
N475337,London,1750,2fo
N3772,Edinburgh,1739,8vo
T46857,London,1714,8vo
S102102,London,1580,8vo
T58471,London,1762,12mo
T172590,London,1763,12mo
R37792,Edinburgh,1697,2fo
R24261,London,1684,2fo
R200518,London,1646,4to
T151814,London,1726,12mo
T173135,London,1798,8vo
R24575,London,1694,8vo
T183982,Dublin,1718,2fo
N67194,London,1759,2fo
T84392,London,1730,8vo
R9543,London,1682,2fo
N71735,London,1790,2fo
R43922,London,1682,NA
T99366,London,1706,4to
R221397,London,1700,2fo
R10537,London,1699,8vo
R490277,Edinburgh,1695,2fo
T134453,Dublin,1755,8vo
T218560,Edinburgh,1762,4to
T105796,London,1798,4to
T50130,London,1780,4to
T128145,London,1701,8vo
R220796,London,1699,2fo
N61843,London,1800,2fo
T34129,London,1788,8vo
T184940,London,1800,8vo
T3605,London,1760,2fo
T162873,Dublin,1765,8vo
R231374,London,1657,2fo
T4261,London,1745,8vo
T33106,Dublin,1799,8vo
S121384,London,1486,2fo
R33468,London,1694,8vo
T213854,Edinburgh,1758,2fo
T192046,London,1735,12mo
R11008,London,1643,4to
T92660,London,1726,8vo
T224146,London,1782,2fo
N14204,London,1793,8vo
N52346,London,1717,2fo
R210572,London,1647,2fo
T228062,London,1764,2fo
N27618,London,1795,8vo
N3445,Dublin,1701,4to
N13240,London,1770,12mo
N28182,London,1735,12mo
T138365,London,1725,4to
S103520,London,1557,8vo
T202677,London,1775,4to
N43428,London,1732,8vo
R507885,London,NA,NA
T16238,London,1755,8vo
T90298,London,1704,4to
R2462,London,1651,8vo
R216270,London,1675,8vo
T145570,London,1776,8vo
N16696,London,1746,8vo
T174148,Edinburgh,1787,2fo
T179434,Edinburgh,1710,2fo
T62235,London,1799,8vo
N61453,London,1776,12mo
T109575,London,1792,4to
T84303,Edinburgh,1729,4to
T89875,London,1778,8vo
T57994,London,1777,12mo
R206128,London,1649,4to
T71548,London,1719,4to
S110523,London,1640,4to
N28504,London,1716,8vo
T8787,London,1786,2fo
T25571,London,1717,2fo
T5610,London,1736,12mo
R22899,London,1682,2fo
T201784,Edinburgh,1770,4to
R215325,London,1653,8vo
R25452,London,1654,2fo
N12874,London,1743,2fo
N29839,London,1783,8vo
N65139,London,1709,2fo
N6070,Edinburgh,1727,2fo
T204938,Edinburgh,1715,2fo
R30949,London,1694,8vo
R22198,London,1643,4to
R205558,London,1660,2fo
S116142,Edinburgh,1597,8vo
R236675,London,1673,8vo
T181701,Dublin,1749,2fo
R214509,London,1672,2fo
R184087,London,1681,8vo
P1107,London,1642,4to
N10796,London,1715,8vo
R506127,London,NA,NA
T202507,London,1768,4to
R43724,London,1693,NA
R38188,London,1683,4to
T197138,London,1789,8vo
T13430,London,1742,2fo
T120133,Edinburgh,1768,12mo
R21150,London,1683,NA
R226672,London,1687,4to
N45959,London,1777,4to
T39585,London,1767,8vo
R41337,London,1697,NA
R33411,London,1689,NA
T132281,London,1733,8vo
T26207,London,1772,8vo
T170940,London,1735,4to
T35134,Dublin,1755,8vo
R217612,London,1698,12mo
R224224,London,1686,8vo
R212467,London,1645,4to
T114512,Dublin,1764,4to
R200705,London,1646,4to
R212727,London,1642,4to
T163873,Dublin,1793,8vo
T177136,London,1705,4to
T203852,London,1780,4to
N47698,London,1795,12mo
T3601,London,1760,2fo
T161151,London,1759,8vo
N36324,London,1714,4to
S117395,London,1625,4to
R23915,London,1700,8vo
T214079,Edinburgh,1765,8vo
T182746,London,1707,12mo
T224150,London,1755,12mo
T36572,London,1740,4to
N68051,Dublin,1769,12mo
N68402,London,1760,4to
R19548,London,1642,4to
R212150,London,1643,2fo
T57233,London,1744,2fo
T130797,London,1758,12mo
T123103,London,1785,8vo
N57200,London,1771,2fo
N5115,London,1723,2fo
R181510,London,1700,8vo
P1208,London,NA,NA
T228244,London,1790,8vo
R231460,Edinburgh,1680,8vo
T208407,Edinburgh,1749,4to
T149353,London,1739,4to
T106474,London,1755,8vo
T54321,London,1774,8vo
T28844,London,1800,8vo
T96393,London,1757,12mo
N56847,London,1765,2fo
S120641,London,1610,4to
T231266,Edinburgh,1765,2fo
R220292,London,1683,2fo
N19142,London,1760,2fo
R11558,London,1650,4to
R208734,London,1655,8vo
R43399,London,1698,4to
S123628,London,1621,2fo
T101908,London,1713,8vo
T301222,London,1759,4to
N44472,London,1770,12mo
S94886,London,1629,4to
T27621,London,1777,2fo
S121192,London,1628,4to
S113483,London,1594,2fo
T71251,London,1794,4to
T77217,London,1790,2fo
S115329,London,1639,8vo
T39466,London,1712,8vo
R170728,London,1679,2fo
T36013,London,1731,8vo
T120297,Dublin,1781,8vo
T208135,London,1788,8vo
T164291,Dublin,1794,8vo
T95733,London,1800,12mo
